Desbaste condición 0	False	metros	3	Ajuste
Mecánicas máquina 1	True	kg	194	Relojería
Tornillos prohibición 2	False	unidades	179	Cerrajería
Pintura seguramente 3	False	mL	197	Golpe
Desbaste formalidad 4	True	g	75	Cerrajería
Montaje cuáles 5	False	kg	120	Construcción
Jardinería babosa 6	False	g	43	Multifunción
Unión viento 7	False	kg	14	Soldadura
Campo Adjetivos 8	True	mL	132	Cerrajería
Precisión inverso 9	True	L	55	Fijación
Desbaste constitución 10	True	L	158	Construcción
Sujeción tomar 11	True	metros	198	Precisión
Soldadura Pronombres 12	False	metros	184	Jardinería
Unión secreto 13	False	mg	49	Fijación
Soldadura cortar 14	False	L	169	Unión
Campo planta 15	True	mL	54	Golpe
Medición Adjetivos 16	False	metros	179	Tornillos
Cerrajería orden 17	False	mg	23	Tornillos
Pintura actuación 18	True	mg	194	Cerrajería
Unión dragón 19	False	metros	82	Mecánicas
Plomería municipio 20	True	mL	154	Plomería
Golpe costa 21	True	mL	96	Fijación
De proponer 22	True	mL	174	Corte
Carpintería animal 23	False	metros	157	Tornillos
Sujeción señora 24	True	L	1	Soldadura
Ajuste destino 25	True	unidades	129	Cerrajería
Corte horrible 26	True	g	14	Corte
Tornillos dividir, 27	True	kg	152	Ajuste
Fijación diarrea 28	True	L	46	Carpintería
Mecánicas aquel, 29	False	mL	47	Montaje
Montaje desarrollo 30	True	mg	44	Golpe
Construcción cambio 31	False	L	40	Relojería
Medición ascensor 32	True	kg	121	Soldadura
Montaje tipo 33	True	mL	174	Herrería
Construcción atar 34	False	mg	17	Carpintería
Montaje camiseta 35	True	L	187	Desbaste
Sujeción cero 36	True	L	172	Sujeción
Soldadura ser 37	False	L	166	Corte
Pintura sacar 38	True	mL	22	Mecánicas
Desbaste afectar 39	True	kg	164	Tornillos
Fijación adelante, 40	True	g	136	Herrería
Golpe flor 41	True	kg	75	Corte
Jardinería a 42	True	g	4	Jardinería
Mecánicas caballo 43	False	mg	123	Tornillos
Multifunción deprisa 44	True	metros	90	Plomería
Mecánicas vosotras 45	False	L	171	Unión
Montaje llave 46	True	metros	88	Mecánicas
Plomería plátano 47	True	L	8	Construcción
Precisión cintura 48	False	g	176	Carpintería
Fijación cuarto 49	False	mg	86	Corte
Desbaste empatía 50	False	g	148	Ajuste
Construcción conejo 51	False	mg	188	Cerrajería
Campo llave 52	False	kg	68	Multifunción
Carpintería piel 53	True	mL	104	Sujeción
Ajuste acaso 54	True	g	144	Mecánicas
Plomería abuelo 55	True	unidades	75	Sujeción
Soldadura animal 56	True	metros	164	De
Unión poner 57	False	g	196	Corte
Carpintería obra 58	False	kg	68	Precisión
Multifunción símbolo 59	True	mg	23	Campo
Sujeción primero, 60	True	metros	30	Soldadura
Golpe inglés 61	False	mL	58	Precisión
Construcción lo 62	True	unidades	85	Electricidad
Multifunción codo 63	False	kg	186	Mecánicas
Soldadura saltamontes 64	False	g	193	Golpe
Golpe alcanzar 65	False	mL	40	Plomería
Soldadura barba 66	False	unidades	151	Precisión
Desbaste solo 67	True	metros	132	Relojería
Montaje área 68	False	metros	26	Tornillos
