Relojería arroz0	True	mg	27	Relojería
Cerrajería aquellas1	False	mL	94	Golpe
Sujeción precisar2	True	g	61	Relojería
Cerrajería expresión3	True	metros	26	Tornillos
Multifunción acompañar4	False	kg	125	Golpe
Herrería se5	True	unidades	111	Tornillos
Campo bisnieto6	False	unidades	101	Ajuste
Multifunción deber7	True	kg	16	Campo
Unión oreja8	True	kg	151	De
Jardinería largo,9	True	mg	187	Carpintería
Tornillos pasado10	False	metros	42	De
Pintura mariposa11	False	kg	118	Electricidad
De entrevistar12	True	mg	198	Corte
Medición mejora13	True	mL	44	Plomería
Ajuste razón14	True	mL	3	Sujeción
Herrería acercar15	False	metros	12	Golpe
Multifunción cero16	True	g	17	Montaje
Tornillos ciruela17	False	mg	117	Cerrajería
Precisión despacio18	True	kg	139	Montaje
Medición sea19	False	metros	4	Mecánicas
Corte orden20	False	L	63	Sujeción
Fijación empeorar21	False	mg	177	Electricidad
Soldadura rosa,22	False	g	151	Herrería
Carpintería figura23	False	metros	28	Plomería
Electricidad amplio24	False	g	116	Fijación
Campo Adverbios25	True	L	37	Precisión
Precisión solicitar26	False	mL	183	De
Construcción probablemente27	False	L	51	Golpe
Tornillos tres28	False	mg	177	Sujeción
Medición mentira29	False	unidades	119	Relojería
Pintura cuánto30	False	kg	58	Precisión
Golpe orden31	False	metros	179	Fijación
Fijación cultural32	True	L	94	Medición
Relojería último33	True	L	200	Cerrajería
Desbaste fábrica34	True	L	50	Desbaste
Carpintería mostrar35	False	unidades	35	Montaje
Unión águila36	True	L	152	Carpintería
Medición Sociedad37	True	g	14	Construcción
Corte seguir38	False	g	149	Soldadura
Herrería centímetro39	False	unidades	135	Herrería
Plomería apestoso,40	False	unidades	118	Electricidad
Relojería enojarse,41	True	metros	25	Plomería
De anciana42	False	kg	21	Electricidad
Unión ardiente43	False	unidades	155	Unión
Sujeción separar,44	True	g	41	Montaje
Corte junto45	False	mL	162	Corte
Pintura grueso46	False	unidades	118	Unión
Desbaste primera47	True	unidades	145	Jardinería
Electricidad confianza48	False	g	4	Carpintería
Mecánicas bolsillo49	True	mg	154	Fijación
Golpe llevar50	True	unidades	6	Desbaste
Mecánicas bosque51	False	unidades	153	Mecánicas
Sujeción libro52	False	L	118	Plomería
Pintura contigo53	False	mg	111	Cerrajería
Jardinería terminar,54	False	unidades	11	Multifunción
Precisión triste55	True	unidades	53	Relojería
Herrería ley56	False	metros	66	Relojería
Plomería reparar57	False	kg	22	Montaje
Sujeción oler58	True	L	123	Carpintería
Mecánicas éxito59	False	mL	2	Electricidad
Ajuste exterior60	False	unidades	78	Cerrajería
Electricidad ahora61	True	kg	134	Cerrajería
Campo domingo62	False	unidades	62	Tornillos
Multifunción entender,63	True	g	181	Golpe
Carpintería vuestra64	False	L	145	Jardinería
Precisión a65	True	g	111	Pintura
Multifunción esas66	True	mL	20	Mecánicas
Campo ni67	True	mL	103	Tornillos
Ajuste desierto68	False	kg	172	Herrería
Construcción nosotras69	True	metros	89	Tornillos
Plomería diferencia70	False	unidades	144	Relojería
Tornillos control71	False	kg	199	Fijación
Sujeción absoluto72	True	g	29	Carpintería
Golpe dibujo73	False	g	190	De
Multifunción carta74	False	L	164	Electricidad
Plomería escritorio75	False	mg	132	Unión
Soldadura diez76	True	mg	79	Multifunción
Precisión hilo77	True	L	152	De
Ajuste adrede78	False	mg	92	Campo
Montaje decisión79	True	mg	106	Campo
Sujeción Adjetivos80	True	L	175	Relojería
Unión relación81	False	metros	145	Unión
Carpintería gracias82	False	mL	129	De
Campo cultura83	True	metros	66	Pintura
Campo nosotros,84	True	g	14	Construcción
Mecánicas gorrión85	False	L	85	Jardinería
Construcción zapato86	True	kg	40	Relojería
