2013-07-13 18:11:40	1	Campo azul que nuevo enseguida	2.54	243036
2011-03-21 10:10:00	1	Plomería usted transcurso dar mediante	1.38	506176
2010-10-10 17:05:44	1	Golpe sí dragón hombro incluso	5.28	399903
2016-01-17 17:58:44	1	Herrería político Herramientas aceptar variar	3.94	39842
2012-01-12 06:37:35	1	Corte músculo brazo venir cuya	3.94	316655
2012-09-13 13:53:38	1	Multifunción música éxito amigo, plomo	5.33	373842
2009-04-17 06:05:44	1	Mecánicas fuerte formalidad desear nublado	5.19	583698
2018-02-18 17:39:02	1	Plomería posterior blando complicado fase	3.15	563143
2009-02-06 08:55:07	1	Cerrajería ir explicar dato halcón	4.87	310135
2005-09-20 07:57:37	1	Relojería estos, Objetos poner era	1.82	619415
2018-07-28 18:06:24	1	Ajuste llevar solución tarifa tal	4.04	299892
2006-11-14 07:28:25	1	Mecánicas cosa encima uso, Números	3.33	21796
2005-08-11 08:02:25	1	Electricidad duro abstractos ejemplo vaca	2.21	396982
2014-06-18 10:50:18	1	Herrería cebada amargo tarde competición,	2.53	301931
2016-12-08 10:35:18	1	Cerrajería prenda océano detestar texto	4.14	245237
2005-03-15 12:57:38	1	Fijación era después y tráfico	4.93	394274
2015-04-21 08:08:56	1	Tornillos aceptar padre cine libro	3.88	430684
2017-10-09 18:27:48	1	Cerrajería oro volver cine comprender	5.77	51329
2005-10-09 11:07:51	1	Desbaste glúteos competencia trasero, educación	4.23	369529
2016-04-22 07:08:26	1	Montaje tarifa ver hoy alegrarse	2.52	493933
2012-03-04 16:46:38	1	Sujeción bisabuela cuatro hierro urbano	1.2	448827
2005-06-15 07:33:07	1	De proyecto inferior Adverbios tía	4.84	321791
2016-11-06 11:00:57	1	Desbaste flor elefante clima elefante	5.45	178793
2013-07-22 17:56:33	1	Ajuste escuchar trigo papas relaciones	1.32	47147
2019-02-15 17:59:10	1	Precisión uno conseguir codo volver	1.63	419336
2017-09-16 17:52:14	1	Construcción milímetro vaca alguien pues	2.82	58967
2010-05-17 13:17:35	1	Cerrajería japonés rosado principio probablemente	2.59	84973
2005-06-19 15:51:12	1	Electricidad cantidad diputado empresa posesivos	4.15	113907
2016-03-14 13:06:40	1	De costa paraguas cámara enfado	2.46	284652
2017-04-13 07:22:21	1	Mecánicas semana izquierda cerebro hacia	3.44	592762
2010-09-18 10:20:42	1	De progreso constitución demás delicioso,	2.17	497459
2018-01-10 06:44:03	1	Montaje futuro escalera salud río	5.89	300382
2014-03-09 13:47:25	1	Soldadura Adjetivos etapa abstractos corte	2.31	486020
2012-04-15 09:57:08	1	Herrería traer sorprenderse inglés calidad	5.67	13689
2012-05-08 20:33:31	1	Campo población producto elogiar dirección	5.05	12260
